frame,num_particles,solver_iters,max_neighbors,sort_every_n,sim_ms_gpu,clear,points_speed,present,gpu_0,render_ms,frame_ms,fps,profile
197,1.024e+06,2,64,1,-1,0.1627,0.0006,0.1881,0.002944,3.3839,4.4635,224.039,""
198,1.024e+06,2,64,1,-1,0.1248,0.0005,0.1504,0.003872,3.6801,4.5049,221.981,""
199,1.024e+06,2,64,1,-1,0.1287,0.0005,0.1572,0.003072,3.6269,4.4209,226.198,""
200,1.024e+06,2,64,1,-1,0.1624,0.0008,0.1809,0.004096,3.3456,4.4988,222.281,""
201,1.024e+06,2,64,1,-1,0.1194,0.0004,0.1465,0.004096,3.6475,4.4799,223.219,""
202,1.024e+06,2,64,1,-1,0.1314,0.0006,0.1536,0.003072,3.6515,4.4664,223.894,""
203,1.024e+06,2,64,1,-1,0.1193,0.0005,0.1496,0.004,3.608,4.4217,226.157,""
204,1.024e+06,2,64,1,-1,0.124,0.0005,0.1469,0.004096,3.6455,4.5083,221.813,""
205,1.024e+06,2,64,1,-1,0.151,0.0005,0.1869,0.003072,3.6175,4.5134,221.562,""
206,1.024e+06,2,64,1,-1,0.1391,0.0005,0.1574,0.003072,3.6862,4.546,219.974,""
207,1.024e+06,2,64,1,-1,0.1311,0.0005,0.1643,0.004096,3.7664,4.5188,221.298,""
208,1.024e+06,2,64,1,-1,0.1292,0.0005,0.1566,0.003968,3.7083,4.5483,219.862,""
209,1.024e+06,2,64,1,-1,0.1245,0.0005,0.1528,0.004096,3.6855,4.421,226.193,""
210,1.024e+06,2,64,1,-1,0.1268,0.0005,0.1471,0.004096,3.6813,4.4582,224.306,""
211,1.024e+06,2,64,1,-1,0.1601,0.0006,0.1755,0.003072,3.3488,4.402,227.169,""
212,1.024e+06,2,64,1,-1,0.124,0.0004,0.1491,0.003072,3.6397,4.4291,225.78,""
213,1.024e+06,2,64,1,-1,0.1319,0.0005,0.1609,0.003072,3.6936,4.5019,222.128,""
214,1.024e+06,2,64,1,-1,0.1698,0.0005,0.1772,0.003072,3.3475,4.5821,218.241,""
215,1.024e+06,2,64,1,-1,0.1268,0.0006,0.1544,0.003072,3.6542,4.4117,226.67,""
216,1.024e+06,2,64,1,-1,0.1322,0.0005,0.1467,0.003072,3.6558,4.4471,224.866,""
217,1.024e+06,2,64,1,-1,0.1303,0.0005,0.1713,0.003072,3.6361,4.4875,222.841,""
218,1.024e+06,2,64,1,-1,0.1228,0.0005,0.1509,0.003072,3.6112,4.4264,225.917,""
219,1.024e+06,2,64,1,-1,0.1112,0.0005,0.1397,0.003072,3.5754,4.4152,226.49,""
220,1.024e+06,2,64,1,-1,0.1197,0.0004,0.1491,0.003072,3.5846,4.4886,222.787,""
221,1.024e+06,2,64,1,-1,0.1334,0.0006,0.1636,0.004096,3.5474,4.4683,223.799,""
222,1.024e+06,2,64,1,-1,0.1074,0.0005,0.1356,0.003968,3.5574,4.4685,223.789,""
223,1.024e+06,2,64,1,-1,0.11,0.0005,0.1432,0.003072,3.4825,4.4308,225.693,""
224,1.024e+06,2,64,1,-1,0.1291,0.0006,0.163,0.003072,3.4821,4.4506,224.689,""
225,1.024e+06,2,64,1,-1,0.12,0.0006,0.143,0.004096,3.4701,4.4538,224.527,""
226,1.024e+06,2,64,1,-1,0.1122,0.0004,0.1477,0.003072,3.6733,4.4144,226.531,""
227,1.024e+06,2,64,1,-1,0.1576,0.0005,0.161,0.003872,3.3433,4.4163,226.434,""
228,1.024e+06,2,64,1,-1,0.1204,0.0005,0.1449,0.003872,3.7066,4.4376,225.347,""
229,1.024e+06,2,64,1,-1,0.1229,0.0005,0.1542,0.004,3.6931,4.4326,225.601,""
230,1.024e+06,2,64,1,-1,0.1284,0.0006,0.1587,0.004032,3.6976,4.4518,224.628,""
231,1.024e+06,2,64,1,-1,0.1193,0.0005,0.152,0.003072,3.6322,4.4389,225.281,""
232,1.024e+06,2,64,1,-1,0.1292,0.0004,0.1414,0.003872,3.4895,4.5123,221.616,""
233,1.024e+06,2,64,1,-1,0.1241,0.0005,0.1511,0.003072,3.6181,4.4292,225.774,""
234,1.024e+06,2,64,1,-1,0.1236,0.0004,0.1455,0.003968,3.6262,4.4828,223.075,""
235,1.024e+06,2,64,1,-1,0.1224,0.0006,0.1417,0.003872,3.6127,4.4736,223.534,""
236,1.024e+06,2,64,1,-1,0.1257,0.0005,0.1502,0.004096,3.5433,4.412,226.655,""
